rep,features,metric,rang,artiste,distance
3,char,burrows_delta,1,L’Animalerie,0.7670307860471853
3,char,burrows_delta,2,Bigflo & Oli,0.7797665763802123
3,char,burrows_delta,3,Zkr,0.7807413336878252
3,char,burrows_delta,4,Panama Bende,0.7839218652090809
3,char,burrows_delta,5,Leck,0.7880685215556856
3,char,burrows_delta,6,S-Crew,0.7914946577670604
3,char,burrows_delta,7,Sofiane,0.7925468666517331
3,char,burrows_delta,8,Nakk Mendosa,0.7942270543274399
3,char,burrows_delta,9,Lacraps,0.7975010544543931
3,char,burrows_delta,10,Vin’s,0.799857166781377
3,char,burrows_delta,11,Mani Deïz,0.8009773627210527
3,char,burrows_delta,12,Saké (FRA),0.8104421769436081
3,char,burrows_delta,13,YL,0.8109753648981303
3,char,burrows_delta,14,Intouchable,0.8122141848040629
3,char,burrows_delta,15,Zola,0.8140893877409375
3,char,burrows_delta,16,PLK,0.8163165977413652
3,char,burrows_delta,17,Zikxo,0.8165962520584001
3,char,burrows_delta,18,Niro,0.8173961278770212
3,char,burrows_delta,19,SCH,0.8174621703174221
3,char,burrows_delta,20,Lesram,0.818100086755433
3,char,burrows_delta,21,Worms-T,0.8184227661894465
3,char,burrows_delta,22,Sadek,0.8186038833732553
3,char,burrows_delta,23,Dibson,0.8201710378532301
3,char,burrows_delta,24,Lemon Haze,0.821418701054011
3,char,burrows_delta,25,Sopico,0.8216302445408207
4,mfw,cosine_delta,1,Beendo Z,0.7074184963147061
4,mfw,cosine_delta,2,Werenoi,0.7103892795366075
4,mfw,cosine_delta,3,Rimkus,0.7216645944557455
4,mfw,cosine_delta,4,UZI (FRA),0.7288467846489088
4,mfw,cosine_delta,5,Lacrim,0.7449714931264678
4,mfw,cosine_delta,6,Maes,0.7463894777703243
4,mfw,cosine_delta,7,Lemon Haze,0.7503097349135006
4,mfw,cosine_delta,8,SCH,0.7511859044568834
4,mfw,cosine_delta,9,Graya,0.7549854480960294
4,mfw,cosine_delta,10,Fresh laDouille,0.7677800005804978
4,mfw,cosine_delta,11,Sofiane,0.7839575096618078
4,mfw,cosine_delta,12,Kerchak,0.7923609555531954
4,mfw,cosine_delta,13,Timal,0.7973278406026154
4,mfw,cosine_delta,14,SDM,0.8057507319272466
4,mfw,cosine_delta,15,Gambino La MG,0.8073706824135704
4,mfw,cosine_delta,16,Lesram,0.81174320084113
4,mfw,cosine_delta,17,Sefyu,0.814071972737308
4,mfw,cosine_delta,18,Mister You,0.8159912912023736
4,mfw,cosine_delta,19,RK,0.8193154565684624
4,mfw,cosine_delta,20,Koba LaD,0.8220959773292493
4,mfw,cosine_delta,21,Dika,0.8227077078858359
4,mfw,cosine_delta,22,ASHE 22,0.822994630009783
4,mfw,cosine_delta,23,Zkr,0.8242839593899844
4,mfw,cosine_delta,24,Nahir,0.8297158530221624
4,mfw,cosine_delta,25,S-Pion,0.8300034365059025
4,mfw,burrows_delta,1,Lacrim,0.6768712079832011
4,mfw,burrows_delta,2,Zkr,0.686278074442566
4,mfw,burrows_delta,3,Beendo Z,0.6975214758633627
4,mfw,burrows_delta,4,RK,0.705490884683505
4,mfw,burrows_delta,5,Dibson,0.7083436146563973
4,mfw,burrows_delta,6,Graya,0.7088044020460429
4,mfw,burrows_delta,7,S-Crew,0.7124241140271101
4,mfw,burrows_delta,8,Rimkus,0.7155099425985695
4,mfw,burrows_delta,9,UZI (FRA),0.7172709686718723
4,mfw,burrows_delta,10,S-Pion,0.7178088803182134
4,mfw,burrows_delta,11,Mister You,0.7233318885207355
4,mfw,burrows_delta,12,Niro,0.7244709675500217
4,mfw,burrows_delta,13,L’Animalerie,0.7273475248727097
4,mfw,burrows_delta,14,Lemon Haze,0.7276563999525971
4,mfw,burrows_delta,15,ISK,0.7284163003341423
4,mfw,burrows_delta,16,Octobre Rouge,0.730076670474757
4,mfw,burrows_delta,17,Nahir,0.7307426595217773
4,mfw,burrows_delta,18,Maes,0.7329672460346919
4,mfw,burrows_delta,19,Hugo TSR,0.7331596263782972
4,mfw,burrows_delta,20,SCH,0.7332629235643755
4,mfw,burrows_delta,21,Sopico,0.7350772403940117
4,mfw,burrows_delta,22,Lomepal,0.7351798160464487
4,mfw,burrows_delta,23,Intouchable,0.735977049095669
4,mfw,burrows_delta,24,Timal,0.7364534696565982
4,mfw,burrows_delta,25,Shtar Academy,0.7364756990606712
4,char,cosine_delta,1,Beendo Z,0.799908968526237
4,char,cosine_delta,2,UZI (FRA),0.8029523942842214
4,char,cosine_delta,3,Kerchak,0.8133381669282465
4,char,cosine_delta,4,Rimkus,0.8241541490644881
4,char,cosine_delta,5,Werenoi,0.8245910518173186
4,char,cosine_delta,6,Zkr,0.8304591644447837
4,char,cosine_delta,7,​DA Uzi,0.8335485432693205
4,char,cosine_delta,8,Maes,0.8347674639482834
4,char,cosine_delta,9,Gradur,0.8352365603743548
4,char,cosine_delta,10,Timal,0.8409349407702333
4,char,cosine_delta,11,Lemon Haze,0.8455777390065726
4,char,cosine_delta,12,Gambino La MG,0.8462284088694904
4,char,cosine_delta,13,Niro,0.8471613871040825
4,char,cosine_delta,14,RK,0.8501878635661451
4,char,cosine_delta,15,Roshi,0.8513820636851124
4,char,cosine_delta,16,Gambi,0.8523579232183992
4,char,cosine_delta,17,Lacrim,0.852664588252577
4,char,cosine_delta,18,ASHE 22,0.8579287678093481
4,char,cosine_delta,19,Niaks,0.8580626974302166
4,char,cosine_delta,20,Fresh laDouille,0.860018534732805
4,char,cosine_delta,21,Nahir,0.8642788627958469
4,char,cosine_delta,22,BFG,0.8654476996114446
4,char,cosine_delta,23,Worms-T,0.8696668945656492
4,char,cosine_delta,24,Graya,0.8699139835039577
4,char,cosine_delta,25,SCH,0.8708830567888
4,char,burrows_delta,1,L’Animalerie,0.7547402831973371
4,char,burrows_delta,2,Zkr,0.757641078383282
4,char,burrows_delta,3,S-Crew,0.7630581388053831
4,char,burrows_delta,4,Lacrim,0.7676874658556574
4,char,burrows_delta,5,Leck,0.7782536274631824
4,char,burrows_delta,6,Niro,0.7845196290486414
4,char,burrows_delta,7,Sopico,0.7865590684434197
