url,lyrics_ok,lyrics_exact,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl
https://genius.com/Maska-de-la-rue-a-la-lambo-lyrics,True,False,-290,-59,-11,-35,0.05702815929392813
https://genius.com/Lacrim-espana-lyrics,True,False,-361,-144,-11,-36,-0.07858825966493033
https://genius.com/Sams-spectre-lyrics,True,False,-204,-116,6,-25,-0.6694628980462363
https://genius.com/Lord-esperanza-oh-lord-lyrics,True,False,-317,-135,-26,-25,-0.08684904416611472
https://genius.com/Kekra-jeune-voyou-lyrics,True,False,-188,-77,0,-14,-0.04811320754716997
https://genius.com/Retro-x-soucoupe-lyrics,True,False,-30,-5,-3,-2,0.010174880763114569
https://genius.com/Soolking-rockstar-lyrics,True,False,-3,-4,0,1,-0.018103229087212735
https://genius.com/Swift-guad-je-prends-mon-temps-lyrics,True,False,-283,-89,-16,-28,-0.04381450280358479
https://genius.com/Maska-bouloir-lyrics,True,False,-232,-41,-18,-28,-0.09285882076579233
https://genius.com/Younes-le-grand-remplacement-lyrics,True,False,-214,-76,6,-23,-0.6413376979199836
https://genius.com/Disiz-une-histoire-extraordinaire-lyrics,True,False,-490,-142,-34,-52,0.04440846393434139
https://genius.com/Lefa-en-premiere-page-lyrics,False,False,-287,-82,-8,-20,0.037109736149635975
https://genius.com/Glk-rip-lyrics,True,False,-166,-5,-6,-8,0.09841777830950127
https://genius.com/Dandyguel-on-est-al-lyrics,True,False,-249,-91,-11,-32,0.04139790122268261
https://genius.com/K-reen-taimer-encore-lyrics,True,False,-203,-19,-11,-28,0.06232804232804545
https://genius.com/Hayce-lemsi-young-bikow-6-lyrics,True,True,0,0,0,1,-3.1086244689504383e-15
https://genius.com/Chiens-de-paille-dans-le-coin-lyrics,True,False,-451,-112,-14,-48,-0.04265593561367842
